ID,ACCOUNTID,DATE,QUERY,TEXT,LABEL
"58","CandwongT","#COVID19",2020-08-31 19:34:28.0,"RT nbstv The government has introduced COVID19 testing fees of UGX 240500 What is your view on thisNBSMorningBreeze NBSPoliticom", "0"
"59","manishkrsinghs","#COVID19",2020-08-31 19:34:28.0,"sakshijoshii I would suggest that you ask all students dropping Exam due to fear of COVID19  floods  lack of conveyance or lack of accommodation to send you their admit card no or video with complete address Pls ask in Hindi also", "0"
"60","Anonymo88246353","#COVID19",2020-08-31 19:34:28.0,"RT WHO The more control countries have over the virus the more they can open upOpening up without having control is a recipe for disa", "0"
"61","AlteranNews","#COVID19",2020-08-31 19:34:27.0,"As Democrats continue to use COVID19 take action designed in increase hardship on the people hoping that doing so will hurt Trump in Election2020 they have screwed themselves as they are losing their indoctrination camps as more parents turn to ", "0"
"62","stevecheckoway","#COVID19",2020-08-31 19:34:26.0,"RT familyunequal This thing has taken a rather abrupt turn Daily new COVID19 cases in counties with at least 13 of the population enro", "0"
"63","HappaNarinder","#COVID19",2020-08-31 19:34:26.0,"RT ndtv ExamsInCovid  JEE Main begins on September 1 NEET on September 13 amid rising COVID19 casesWrite to us ndtv or WhatsApp yo", "0"
"64","Infinitysdlimit","#COVID19",2020-08-31 19:34:26.0,"RT LiveLawIndia Lockdown will not be applicable to students appearing in JEE and NEET exams and their parents in Rajasthan Students a", "0"
"65","Kalaise14421791","#COVID19",2020-08-31 19:34:25.0,"RT Vijayabaskarofl Honble CMOTamilNadu launched 108 108 ambulances exclusively for COVID19 services TNHealth ", "0"
"66","deptfordoem","#COVID19",2020-08-31 19:34:24.0,"RT GovMurphy NEW Weve received 352 new positive COVID19 test results pushing our statewide cumulative total since March 4th to 19196", "0"
"67","sumanebot","#COVID19",2020-08-31 19:34:23.0,"RT BuviniL SriLankan Cardinal calls the government to ban political parties based on religion and languageRead more ", "0"
"68","datatalentrec","#COVID19",2020-08-31 19:34:22.0,"RT robrecruitsdata Pandemic Recovery Economic Developments and Future of Workfutureofwork economy COVID19 ArtificialIntelligence R", "0"
"69","FathersInCanada","#COVID19",2020-08-31 19:34:22.0,"AndreaHorwath jennkfrench Aug312020AndreaHorwath given3 Choices for 1 Million ONTARIANS onSOCIALDISABILITYamid COVID191Increase DISABILITY by 1000Mo Retro Jan20202Pay us GAP in CERB  Existing Mon Amt Retro Jan2020 WITHOUT CLAWBACK3Get us CERBDTCDONT VOTE AndreaHorwath", "0"
"70","Vanessa10266006","#COVID19",2020-08-31 19:34:21.0,"RT NHSGrampian Dont take it home Dont run the risk with COVID19Avoid crowded places As hospitality reopens its really importan", "0"
"71","taka67296286","#COVID19",2020-08-31 19:34:21.0,"RT NicoSchira RealSociedad have confirmed that David Silva has tested positive for COVID19", "0"
"72","Jadeslovakia","#COVID19",2020-08-31 19:34:21.0,"RT AlderConsulting In the last few months our world has changed rapidly all thanks to COVID19This week on the AlderPoll were ask", "0"
"73","martinandrea86","#COVID19",2020-08-31 19:34:20.0,"RT TheLancsTimes Rishi Sunak Lied To Me ExcludedUK COVID19 ExcludedUK wearenotgoingaway AmaaliSpice HasBritainChanged", "0"
"74","wes92i","#COVID19",2020-08-31 19:34:20.0,"9000 people died of COVID in the United StatesThe rest died of something elseCOVID19", "0"
"75","NRC_CNRC","#COVID19",2020-08-31 19:34:20.0,"RT CPHOCanada 33 PublicHealth cant do this alone To keep COVID19 on the SlowBurn so we can all enjoy activities while protecting o", "0"
"76","MeabhBiz","#COVID19",2020-08-31 19:34:20.0,"We will share some examples of how makers kinsalepottery bridokane  retailers have adapted   pivoted to meet the business environment of COVID19 MadeLocal DCCIreland LocEnterprise LEOCorkNW leolimerick MadeInLimk ", "0"
"77","Gerard36Delaney","#COVID19",2020-08-31 19:34:19.0,"RT TRUTHER Who thinks the UKGovernment will try the lockdown before Christmas Please rtRETWEEETMECOVIDIDIOTS COVID19 Corona", "0"
"78","benking01","#COVID19",2020-08-31 19:34:19.0,"Many more will have longterm symptoms in future having survived COVID19LongCovid ", "0"
"79","thabyletsiee","#COVID19",2020-08-31 19:34:19.0,"Price ranges M1000 to M1800 Please retweet my customer might be on your  TLLstwitter eNCA COVID19 ", "0"
"80","Nsindi_B","#COVID19",2020-08-31 19:34:19.0,"RT eugenekongnyuy RT UNFPA  Thumbs up to midwives and health workers in Haiti for raising awareness about COVID19 and its imp", "0"
"81","pkspathi","#COVID19",2020-08-31 19:34:18.0,"RT SanjuVerma IndeedBut will you also care to mention this is the 1st time in 112 yearsthat we had a global pandemic like COVID19w", "0"
"82","sinovic","#COVID19",2020-08-31 19:34:17.0,"RT potluckfm This episode we wanted to shout out some excellent local journalists who have ensured that Iowans know the truth regarding", "0"
"83","dustinrgodfrey","#COVID19",2020-08-31 19:34:17.0,"RT jackermann The Vancouver Aquarium is announcing a pause in public programming as of September 8th resulting in the loss of 209 full", "0"
"84","mattbontorin","#COVID19",2020-08-31 19:34:17.0,"Thank you to kellierowe  FOX2News for having me on to discuss the impact kinexon SafeZone has had in North America during the COVID19 pandemic SportsTech", "0"
"85","NRC_CNRC","#COVID19",2020-08-31 19:34:16.0,"RT CPHOCanada 23 Keeping s surveillance sensitive by casting the net wide to find cases helps local PublicHealth professionals dete", "0"
"86","LancasterCSD","#COVID19",2020-08-31 19:34:15.0,"RT ECDOH We have free COVID19 antibody clinics planned in September throughout Erie County Register online at  o", "0"
"87","bharathbunny27","#COVID19",2020-08-31 19:34:15.0,"RT RishikaSadam Hyderabad A person I know flew down from Lucknow to Hyderabad on Saturday And this is how it was inside Hyd Airport", "0"
"88","PolaAndradeG","#COVID19",2020-08-31 19:34:14.0,"RT RobertoKPax If you dont want to become extinct wear a mask pleaseastronomy arquelogy COVID19 technology innovation Science h", "0"
"89","sashaunaXO","#COVID19",2020-08-31 19:34:14.0,"RT FaeEllington JamaicaGleaner JamaicaConstab I support the JamaicaConstab with this move We have to protect people who dont wear ma", "0"
"90","CnBsNana","#COVID19",2020-08-31 19:34:14.0,"RT alviebarr For those interestedMITBiology launches FREE online course on COVID19 delivered by leading expertsAnyone can listen", "0"
"91","godswilltochuk5","#COVID19",2020-08-31 19:34:14.0,"RT JeffOkoroafor Dr Peter Odili gave Femi FaniKayode realFFK N2bn to fix the runway at the Portharcourt Airport and he ran off with the", "0"
"92","NRC_CNRC","#COVID19",2020-08-31 19:34:13.0,"RT CPHOCanada 13 Canadas PublicHealth authorities continue to test for COVID19 at a high rate with an avg 48000 people tested d", "0"
"93","CymraegChris","#COVID19",2020-08-31 19:34:13.0,"RT derekjames150 The Tories want us back to work and school tomorrow Contrary to populist belief theres still a Covid19 pandemic with", "0"
"94","Mythai1214NJ","#COVID19",2020-08-31 19:34:13.0,"RT foogatwo NJ COVID19 Rt Be prepared to be reprimanded for the increase in Rt By the end of the week it will be pushing close to 10", "0"
"95","CantstopulovinM","#COVID19",2020-08-31 19:34:13.0,"RT DDNewslive Railways permits JEE and NEET candidates to travel by special trains in Mumbai while following COVID19 guidelines  Gu", "0"
"96","ButtsGarnett","#COVID19",2020-08-31 19:34:11.0,"RT unmissmedia MondayMotivation Young football fans fr SouthSudan celebrated a recent Arsenal victory by giving face masksantibacter", "0"
"97","twindy5","#COVID19",2020-08-31 19:34:11.0,"RT DrEricDing Wow 25 leading Swedish scientists  hoped herd immunity would curb COVID19 Dont do what we did  approac", "0"
"98","MarxdeMorais","#COVID19",2020-08-31 19:34:11.0,"RT MarxdeMorais Covid19 doesnt exist for this COVIDIDIOTS at Hyde Park Just to mention metpoliceuk crossed twice and did nothing H", "0"
"99","saribethrose","#COVID19",2020-08-31 19:34:11.0,"Speaking on behalf of teachers we are angry  heartbroken that we cant safely return to the classroom This is because Trump completely failed America in his response to COVID19 TrumpFailure JoeMamas2020 TeachForBiden ", "0"
"100","kumarajayGKP","#COVID19",2020-08-31 19:34:11.0,"RT nidhiindiatv Punjab CM Amarinder Singh Since Covid19 cases in Punjab still remain high the present restrictions in Urban areas wi", "0"
"101","WHOLIBYA","#COVID19",2020-08-31 19:34:11.0,"Seafarers on cargo ships work in close contact environments likely to facilitate transmission of COVID19 and an outbreak may affect safety of the crew WHO issued guidance to promote public health measures on cargo ships  fishing vessels ", "0"
"102","bigfatbatty","#COVID19",2020-08-31 19:34:10.0,"RT JamaicaObserver Political Ombudsman Donna Parchment Brown says she has tested positive for the COVID19", "0"
"103","outsource1bene2","#COVID19",2020-08-31 19:34:09.0,"RT CurtisSliwa This is what 12 Noon in NYC in the MTA looks like  a ghost town Thanks to the handiwork of de Blasio a perfectly beaut", "0"
"104","HopePsychClub","#COVID19",2020-08-31 19:34:09.0,"RT APA Even before COVID19 mental health concerns were on the rise among college students The continued uncertainty and disruption of", "0"
"105","unitedtool2017","#COVID19",2020-08-31 19:34:09.0,"UTF Offers PIPGlobal Fogless Eyewear to go with the array of PIP masks Learn more here  Houston Sanantonio Collegestation construction work jobsite workoutdoors COVID19 ", "0"
"106","ArmyPost","#COVID19",2020-08-31 19:34:08.0," The Pain in Spain  Spanish army makes 2000 troops available to assist with COVID19 contacts after resurgence of cases  Espaol via EjercitoTierra WeAreNATO ", "0"
"107","KathNie68042528","#COVID19",2020-08-31 19:34:08.0,"RT ABSCBNNews They are called heroes amid the pandemic but medical frontliners are not indestructibleDays before National Heroes Day", "0"
"108","ramanhavoc","#COVID19",2020-08-31 19:34:08.0,"RT ANI Suzuki SatoshiAmbassador of Japan to India  CS Mohapatra Addl SecyDept of Economic AffairsFinance Ministry today exchanged No", "0"
"109","BlauesStrange","#COVID19",2020-08-31 19:34:08.0,"RT ShehabKhan Founder of an organisation that runs 53 schoolsacademies many in disadvantaged areas tells me the govt promised digital", "0"
"110","SteveBayrd","#COVID19",2020-08-31 19:34:08.0,"RT NikolovScience How come Faucis NIAID was working on a COVID19 RNA vaccine with Bill Gatesfunded Moderna company months BEFORE even", "0"
"111","rogeragambire","#COVID19",2020-08-31 19:34:07.0,"RT newsghana Health birthcertificates Covid19 COVID19 stalls issuing of birth certificates in Zimbabwe  https", "0"
"112","robrecruitsdata","#COVID19",2020-08-31 19:34:06.0,"Pandemic Recovery Economic Developments and Future of Workfutureofwork economy COVID19 ArtificialIntelligence Robot MachineLearning ", "0"
"113","Anki4uever","#COVID19",2020-08-31 19:34:06.0,"RT PIBIndia CoronaWatch 3621245 total confirmed cases 2774801 cases curedrecovered  42307914 samples tested Heres the", "0"
"114","JosieannJacob","#COVID19",2020-08-31 19:34:06.0,"RT WHOWPRO COVID19 confirmed cases and deaths in the WHO Western Pacific Region as of 10 AM Manila time on 31 August  For more info", "0"
"115","Wandafay","#COVID19",2020-08-31 19:34:05.0,"RT 10TampaBay CORONAVIRUS IN FLORIDA GovRonDeSantis holds COVID19 briefing with Dr Scott Atlas ", "0"
"116","comradedonald1","#COVID19",2020-08-31 19:34:05.0,"ddale8 Something to not look forward toCOVID19", "0"
"117","Prana4Love","#COVID19",2020-08-31 19:34:05.0,"RT sallyKP  9210 Why do we need a vaccineCOVID19", "0"
"118","easyamol","#COVID19",2020-08-31 19:34:05.0,"RT captamarinder Since Covid19 cases in Punjab still remain high the present restrictions in Urban areas will continue in Unlock 40", "0"
"119","PullmanWA","#COVID19",2020-08-31 19:34:04.0,"RT WSUGlobalHealth Please join Paul G Allen School for Global Animal Healths Michael Letko for his Science in the City talk Sept 8 Pa", "0"
"120","KuppaKaufey","#COVID19",2020-08-31 19:34:04.0,"RT PhilipWatson Professor Carl Heneghan Oxford UniversityAnd lets be clear the high quality trial evidence for cloth masks suggest", "0"
"121","sumanebot","#COVID19",2020-08-31 19:34:03.0,"RT bileshaw July 2020 remittances to LKA was USD 702 million This is the second consecutive month that LKA recorded a  growth in y", "0"
"122","MJResister","#COVID19",2020-08-31 19:34:03.0,"RT IslandGirlPRV 6 states set singleday coronavirus case records last week New coronavirus cases fell by nearly 15 last week COVID", "0"
"123","dawoodalamer","#COVID19",2020-08-31 19:34:02.0,"We Love Aviation  It Will Be Back aviation COVID19  ", "0"
"124","miteshD92028805","#COVID19",2020-08-31 19:34:02.0,"RahulGandhi AmitChavdaINC YesIt is  UK GDP has contracted by 204Japan278 USA by 329 BTW Congress STATES  have constantly CONTRIBUTED to 40  50  of COVID19 in IndiaWhich wont be forgiven and forgotten Be Assured ", "0"
"125","monyinzer","#COVID19",2020-08-31 19:34:02.0,"RT Tombx7M A tale of two victimsFoxandFriends Trump2020 MAGA KAG BidenRiots COVID19 mondaythoughts MorningJoe WalkAway Cannon", "0"
"126","zklaassen_md","#COVID19",2020-08-31 19:34:01.0,"RT urotoday The role of remote interactions in genitourinary oncology implications for practice change in light of the COVID19 pandemic", "0"
"127","zeibecacis","#COVID19",2020-08-31 19:34:01.0,"RT StatusCoup Thats easy if you dont have a job where you aremove you got 2 feetstart walking Trump supporter on what people", "0"
"128","iamLucretiaMott","#COVID19",2020-08-31 19:34:01.0,"RT ZemanLynnZ senatemajldr That ship has sailed GOP senatemajldr Under TrumpAug 27 202050 million Americans UNEMPLOYED 18365", "0"
"129","News12NJ","#COVID19",2020-08-31 19:34:01.0,"RT ActualAlexZ 8 newly reported deaths in NJ due to COVID19 according to GovMurphyStatewide labconfirmed death toll is now 14165", "0"
"130","sujilu","#COVID19",2020-08-31 19:34:01.0,"RT HelenBranswell Kudos to playbookplus PM for noting of the fact that while we have become numbed to the rising Covid19 death toll 9", "0"
"131","tumie_tumieza","#COVID19",2020-08-31 19:34:00.0,"RT TheSADAG Join us this Wednesday  5pm for another teachers  educators connect session with Educational Psychologist Dr Marsay Dr M", "0"
"132","hholdenthorp","#COVID19",2020-08-31 19:34:00.0,"RT AlexJohnLondon Powerful editorial from hholdenthorp about the toxic cocktail of misinformation and partisan politics hampering the fi", "0"
"133","hoochtech1","#COVID19",2020-08-31 19:34:00.0,"RT Marlene45MAGA 6When the dust settles on the year 2020 we will finally accept that the United States shut down the greatest econom", "0"
"134","Ricochet6It","#COVID19",2020-08-31 19:34:00.0,"RT NikolovScience Watch this clip from the archives of the National Institute of Health It shows researchers at Dr Faucis NIAID Lab ha", "0"
"135","JohnboyFXDLS","#COVID19",2020-08-31 19:34:00.0,"RT Nobiden2 COVID19 ends today The Democrats  CDC have no more control Send people back to work  send children back to school The j", "0"
"136","UncleTacoMan","#COVID19",2020-08-31 19:34:00.0,"RT csiscanada A key CdnNatSec concern is how advanced technologies can be purchased exported and then reverseengineered by threat act", "0"
"137","sree","#COVID19",2020-08-31 19:33:59.0,"RT TechAtBloomberg The cornelltech  Bloomberg Speaker Series is back for its 6th seasonJoin us at 530 PM EDT on Sept 9 when scar", "0"
"138","iheartQ2","#COVID19",2020-08-31 19:33:58.0,"galdeplorable Department of Justice Requesting Data From Governors of States that Issued COVID19 Orders that May Have Resulted in Deaths of Elderly Nursing Home Residents you say And POOF just like magic Actual Deaths of the 150K reported COVID19 are 6 of that ", "0"
"139","LordJebuz","#COVID19",2020-08-31 19:33:57.0,"RT awattersw Why are we using Toronto Police to monitor the ins and outs at the Parkdale ODSP office AND they arent wearing masks COV", "0"
"140","Zoniman","#COVID19",2020-08-31 19:33:56.0,"RT BDSmovement The Gaza Strips 2 million residents are in grave danger due to community spread of COVID19Israels 13year siege turn", "0"
"141","GiovannyLeon","#COVID19",2020-08-31 19:33:56.0,"RT GiovannyLeon When the coronavirus pandemic erupted companies had to change Many businessasusual approaches to collaborating with", "0"
"142","UnShibboleth","#COVID19",2020-08-31 19:33:55.0,"RT FLAHAULT 421 France reported 5413 new COVID19 cases on Aug 31 8100K pop The country is facing a strong surge in positive tests", "0"
"143","OriginalSin17","#COVID19",2020-08-31 19:33:55.0,"RT CongressmanRaja The HeroesAct with its 75 billion for testing tracing and treatment has been sitting with the Senate for months A", "0"
"144","UNHYPHENATEDCDN","#COVID19",2020-08-31 19:33:55.0,"RT MaximeBernier Governments must stop treating us like children and treat us like RESPONSIBLE adults insteadThere is only ONE federal", "0"
"145","prosemachine","#COVID19",2020-08-31 19:33:55.0,"RT thoughtswithn Have you taught your littles to socialdistancecovid19", "0"
"146","the_GodcastJF","#COVID19",2020-08-31 19:33:54.0,"There is NO pandemicCOVID19 CDC johnmacarthur GraceComChurch JennaEllisEsq realDonaldTrump Biblethumpingwi ", "0"
"147","cmusician","#COVID19",2020-08-31 19:33:53.0,"Ford is planning to blame it on the teachers as he throws up his hands  Ontario education children COVID19 onpoli fordnation onted Sflecce ", "0"
"148","BenjiSeitlhamo","#COVID19",2020-08-31 19:33:53.0,"COVID19 is wiping off humanityMay his soul RIP  ", "0"
"149","NRC_CNRC","#COVID19",2020-08-31 19:33:53.0,"RT CPHOCanada 12 Nobody said getting out of the EscapeRoom would be easy It is going to take all of us working together to outsmart ", "0"
"150","360humanVT","#COVID19",2020-08-31 19:33:52.0,"No presentation is more realistic than a Virtual TourDo you need a virtual tour for your property business or spaceContact us todayWe are an email  Phone call away info360humancomng 09096482907MondayMotivationAllOrNothing COVID19 ", "0"
"151","LeominterCOA","#COVID19",2020-08-31 19:33:51.0,"RT HealthyBoston Why wear a face covering It is simple Save lives Protect your family friends and community Protect yourself", "0"
"152","Redskin_girlnm","#COVID19",2020-08-31 19:33:51.0,"RT JanieResists Acosta ShawnInArizona I want control of my life and economy back from COVID19 That will not happen until we get a pres", "0"
